,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log,EMI,BalanceIncome
0,LP001002,Male,No,0.0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,1,4.852030263919617,5849.0,8.674025985443025,0.35555555555555557,5493.444444444444
1,LP001003,Male,Yes,1.0,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0,4.852030263919617,6091.0,8.714567550836485,0.35555555555555557,5735.444444444444
2,LP001005,Male,Yes,0.0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,4.189654742026425,3000.0,8.006367567650246,0.18333333333333332,2816.6666666666665
3,LP001006,Male,Yes,0.0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,4.787491742782046,4941.0,8.50532301884575,0.3333333333333333,4607.666666666667
4,LP001008,Male,No,0.0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1,4.948759890378168,6000.0,8.699514748210191,0.39166666666666666,5608.333333333333
5,LP001011,Male,Yes,2.0,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,5.58724865840025,9613.0,9.170871628065816,0.7416666666666667,8871.333333333334
6,LP001013,Male,Yes,0.0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1,4.553876891600541,3849.0,8.255568653283746,0.2638888888888889,3585.1111111111113
7,LP001014,Male,Yes,3.0,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5.062595033026967,5540.0,8.61974977974133,0.4388888888888889,5101.111111111111
8,LP001018,Male,Yes,2.0,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1,5.123963979403259,5532.0,8.61830469278465,0.4666666666666667,5065.333333333333
9,LP001020,Male,Yes,1.0,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0,5.855071922202427,23809.0,10.077818939438902,0.9694444444444444,22839.555555555555
10,LP001024,Male,Yes,2.0,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1,4.248495242049359,3900.0,8.268731832117737,0.19444444444444445,3705.5555555555557
11,LP001027,Male,Yes,2.0,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1,4.6913478822291435,4340.0,8.375629627094451,0.30277777777777776,4037.222222222222
12,LP001028,Male,Yes,2.0,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1,5.298317366548036,11179.0,9.321792297270326,0.5555555555555556,10623.444444444445
13,LP001029,Male,No,0.0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0,4.736198448394496,4693.0,8.453827315794417,0.31666666666666665,4376.333333333333
14,LP001030,Male,Yes,2.0,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1,2.833213344056216,2385.0,7.776954403322442,0.14166666666666666,2243.3333333333335
15,LP001032,Male,No,0.0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1,4.8283137373023015,4950.0,8.507142855562735,0.3472222222222222,4602.777777777777
16,LP001034,Male,No,1.0,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1,4.605170185988092,3596.0,8.18757739559151,0.4166666666666667,3179.3333333333335
17,LP001036,Female,No,0.0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0,4.330733340286331,3510.0,8.163371316459912,0.2111111111111111,3298.8888888888887
